document,quotation,codes,comment
0564 [D] Doctor of Philosophy in Big DataData ScienceData-Centric Systems.docx,"
The graduate specialization certificate is comprised of three courses and 5 credits in total:
",Requirements,
0564 [D] Doctor of Philosophy in Big DataData ScienceData-Centric Systems.docx,"
2 credits on mathematical and statistical foundations (DATA 1010)

2 credits on computational science (DATA 1030, 1050)

1 credit on societal implications and opportunities (DATA 2080)
",Courses,
0564 [D] Doctor of Philosophy in Big DataData ScienceData-Centric Systems.docx,"
1 credit on societal implications and opportunities (DATA 2080)
",Ethical issues,
0566 [C] SAS Data Science Certificate.docx,"
Statistics and big data analysis drive decision-making in the corporate, nonprofit and government sectors. Dr. Melissa Sovak, a Cal U faculty member and a former market research analyst, has identified more than 100 employers that look for SAS skills when they hire.
",Fluff,
0566 [C] SAS Data Science Certificate.docx,"
You’ll learn essential data science and data analysis skills such as data preparation and cleaning, the SAS software suite and other big data tools, big data analytics, and data visualization
",Skills,
0566 [C] SAS Data Science Certificate.docx,"
These career-focused skills are among the top skills listed by Monster and InsideBigData as essential to a successful data science career. 
",Fluff,
0572 [M] Master of Science in Engineering-Data Science.docx,"
The Online Master of Science in Engineering Program at the Bourns College of Engineering and is designed to enable fully employed engineers to advance their professional education and enhance their value to their employers. This unique program, which is delivered over the Internet, gives engineers the opportunity to learn a specialization in depth and to renew and update their knowledge of technological advances.
",Mission,
0572 [M] Master of Science in Engineering-Data Science.docx,"
This specialization provides the essential knowledge to understand, process and analyze large volumes of data, find patterns within the data and extract statistically significant information from them. This covers combined techniques from a multidisciplinary range of subjects to provide the skills needed to interpret large data in text, image and binary forms, use visualization and statistical techniques to interpret and develop mathematical models to express them. 
",Skills,
0572 [M] Master of Science in Engineering-Data Science.docx,"
The specialization is focused for people working (or expected to work) on the social media, financial sectors, physical, biological and engineering sciences, sensors and retailers
",Jobs,
0568 [M] Master of Science in Information Technology – Data Science.docx,"
The Information Technology, Data Science Concentration master’s program provides students with knowledge, skills and experience in data processing and analytics in the context of business. Students will learn to articulate strategies and methods that allow for the effective use and management of data storage and analytics within an organization.
",Mission,
0552 [M] Master of Science in Biostatistics and Data Science.docx,"
The mission of our biostatistics program is to advance knowledge in the fields of biostatistics, and to provide leadership and scholarship in research, teaching and mentoring, for the advancement of biomedical science and improvement of human health. 
",Mission,
0552 [M] Master of Science in Biostatistics and Data Science.docx,"
We play a vital role in the education mission and the multidisciplinary and translational research mission of Augusta University, crossing the boundaries of academic colleges.
",Interdisciplinary,
0552 [M] Master of Science in Biostatistics and Data Science.docx,"
The mission of our data science degree program is to educate and empower the next generation of aspiring students to use innovative data science methods to address complex problems facing the society and well-being of humankind.
","Broader impact, Mission, Ethical issues, [!!]","Interesting ""well-being of humankind"""
0552 [M] Master of Science in Biostatistics and Data Science.docx,"
The M.S. program provides an intensive exposure to the wide range of methodologies and techniques needed to function and excel as a biostatistician, with expertise in designing data collection for experiments, observational studies, and clinical trials, extracting information stored in various forms, and analyzing, reporting and presenting the findings.
",Skills,
0409 [C] Online Graduate Certificate in Business Analytics.docx,"
Business analytics – the management, analysis, and utilization of data in strategic, operational, and tactical decision making – is increasingly identified by executives as a top priority as businesses around the world seek out new areas of competitive advantage.
",Definition,
0409 [C] Online Graduate Certificate in Business Analytics.docx,"
Leveraging the expertise of top faculty in Information Technology Management, Marketing, and Business Statistics, the Business Analytics certificate will provide you with the knowledge and skills to manage, analyze, and use data to support strategic decision making within your organization
",Mission,
0409 [C] Online Graduate Certificate in Business Analytics.docx,"
Develop statistical and predictive models for business analytics

Use forecasting methods to support managerial, financial, and operational statistics

Implement business intelligence solutions using data warehousing and data mining techniques

Use a wide range of reporting and OLAP tools for business analytics, including Business Objects, Excel Data Mining Client, Python, R, SAP BW, SAS, SPSS, SQL Server BI Development Studio

Employ text mining, web mining, and visualization tools for business decisions

Perform marketing analytics using statistical models

Analyze customer data for customer acquisition, retention, and profitability
",Skills,
0409 [C] Online Graduate Certificate in Business Analytics.docx,"
Use a wide range of reporting and OLAP tools for business analytics, including Business Objects, Excel Data Mining Client, Python, R, SAP BW, SAS, SPSS, SQL Server BI Development Studio
",Tools,
0409 [C] Online Graduate Certificate in Business Analytics.docx,"
BUS MGMT 709 Predictive Analytics for Managers

Electives Courses (12 credits)

Students choose at least four of the following:

BUS ADM 713 Business Forecasting Methods

BUS ADM 741 Web Mining and Analytics

BUS ADM 763 Marketing Analytics

BUS ADM 769 Database Marketing

BUS ADM 816 Business Intelligence Technologies & Solutions

BUS MGMT 744 R Programming for Business Analytics
",Courses,
0410 [M] Master of Professional Studies in Statistical and Data Sciences.docx,"
The M.S. degree is intended to qualify the student to assume a professional role in educational, industrial, or governmental research projects; to teach in a college; or to undertake advanced training toward a doctorate in statistics or one of the quantitative fields of science.
","Mission, Impact",
0410 [M] Master of Professional Studies in Statistical and Data Sciences.docx,"
Because many students receive baccalaureate degrees from colleges that do not offer undergraduate programs in statistics, and because historically statistics has been primarily a field of graduate education, a student does not need a degree in statistics to enter the degree program. A good background in mathematics, science, or engineering is reasonable preparation for graduate work in statistics.
","Requirements, Target group",
0410 [M] Master of Professional Studies in Statistical and Data Sciences.docx,"
Graduate courses in statistics, and sequences of statistics courses leading to a Master of Science in Statistics or a Certificate in Applied Statistics, provide a foundation of statistical literacy, statistical reasoning, and statistical thinking. Our aim is for all of our students to be challenged and encouraged in their statistical course work. In particular, we enable our students to
","Mission, Skills",
0410 [M] Master of Professional Studies in Statistical and Data Sciences.docx,"
Appreciate the inherent variation and uncertainty of information, and understand that statistics can be a resource for improved decision making;

Develop critical thinking skills for application of statistics;

Effectively communicate the results of statistical analysis;

Become responsible and competent practitioners of statistics in order to attain personal goals, either in a profession or in further educational experiences.
",Skills,
0410 [M] Master of Professional Studies in Statistical and Data Sciences.docx,"
To obtain a Master of Science in Statistics, the student must complete the course and comprehensive examination requirements.
",Requirements,
0410 [M] Master of Professional Studies in Statistical and Data Sciences.docx,"
Students must pass a written comprehensive examination on foundational material. The examination covers the theory taught in and and the applications taught in , , and . The exam is given twice a year on the Thursday during the second full week following spring semester final exams and on the third Saturday in October. Students have a maximum of three attempts for this exam.
",Requirements,
0575 [M] M.S. in Business Analytics.docx,"
The Tepper School of Business at Carnegie Mellon University has built its online Master of Science in Business Analytics (MSBA) with these primary objectives:

Provide students with the deep analytical skills, business knowledge and creative problem-solving expertise needed to efficiently and effectively transform data into better decision making and a competitive advantage for their organization.


",Mission,
0575 [M] M.S. in Business Analytics.docx,"
Upon completing the program, students will be able to:

Demonstrate a depth of knowledge of quantitative and analytical tools for decision making

Make appropriate judgements regarding managing, manipulating and analyzing large data sets

Develop and/or efficiently apply computer software to implement analytical techniques

Identify the potential and challenges of applying in a business environment

Communicate effectively and persuasively


",Impact,
0575 [M] M.S. in Business Analytics.docx,"
46-880 Introduction to Probability and Statistics (6 units)

46-881 Programming in R and Python (6 units)

46-882 Business Fundamentals for Analytics Professionals (6 units)

46-883 Statistical Foundations of Business Analytics (6 units)

46-884 Modern Data Management (6 units)

46-885 Data Exploration and Visualization (6 units)

46-886 Machine Learning for Business Applications 1 (6 units)

46-887 Machine Learning for Business Applications 2 (6 units)

46-888 Optimization for Prescriptive Analytics (6 units)

46-889 Business Value Through Integrative Analytics (6 units)

46-890 Managing Teams and Organizations (6 units)

46-897 Business Communication for Analytical Decision Making (6 units)

46-899 Capstone (12 units)

ELECTIVE COURSES

46-891 Mining Unstructured Data (6 units)

46-892 Data Analytics in Finance (6 units)

46-893 Operations and Supply Chain Analytics (6 units)

46-894 Analytical Marketing (6 units)

46-895 Exploring Causality in Depth (6 units)

46-896 People Analytics (6 units)
",Courses,
0395 [B] Computational Modeling and Data Analytics.docx,"
The Computational Modeling and Data Analytics (CMDA) program draws on expertise from three primary departments at Virginia Tech with strengths in quantitative science: , , and . By combining elements of these disciplines in innovative, integrated courses that emphasize techniques at the forefront of applied computation, we teach a rich suite of quantitative skills for tackling today's massive data-based problems.
",Mission,
0395 [B] Computational Modeling and Data Analytics.docx,"
CMDA students learn to be dynamic problem solvers who can work collaboratively in interdisciplinary teams. Modern computational science draws on a variety of expertise. Our students get a great deal of experience practicing these skills, particularly in the CMDA Capstone Project course.


",Impact,
0395 [B] Computational Modeling and Data Analytics.docx,"
CORE REQUIREMENTS (39 credits)



Complete all following courses in CMDA, Computer Science, and Mathematics. Courses marked with * will be used for computing the “in major” GPA. In accordance with State Council guidelines, courses used to fulfill the SCHEV approved degree core may not also be used to meet Curriculum for Liberal Education or major requirements.
",Requirements,
0395 [B] Computational Modeling and Data Analytics.docx,"
FREE ELECTIVES (29 credits)

 

REQUIREMENTS FOR THE COLLEGE AND UNIVERSITY CURRICULUM FOR LIBERAL EDUCATION (40 credits)


",Requirements,
0546 [C] M.S. in Statistics and Analytics.docx,"
STAT 5003

& STAT 5001L

Statistical Methods

and Statistics Methods Laboratory

ESRM 6403

Educational Statistics and Data Processing

ISYS 5503

Decision Support and Analytics

PLSC 5913

Research Methods in Political Science

PSYC 5133

Inferential Statistics for Psychology

SOCI 5013

Advanced Social Research

Choose one of the following: 3

STAT 5313

Regression Analysis

INEG 5393

Applied Regression Analysis for Engineers

PLSC 5943

Advanced Research Methods in Political Science

PSYC 5143

Advanced Descriptive Statistics for Psychology

SOCI 5313

Applied Data Analysis

Choose one of the following: 3

STAT 5353

Methods of Multivariate Analysis

ISYS 5723

Advanced Multivariate Analysis

ESRM 6453

Applied Multivariate Statistics

Choose one of the following: 3

STAT 4373

Experimental Design

INEG 5333

Design of Industrial Experiments

ESRM 6413

Experimental Design in Education

Total Hours 12
",Courses,
0546 [C] M.S. in Statistics and Analytics.docx,"
The Graduate Certificate and M.S. degree in Statistics and Analytics are cross-college interdisciplinary programs that build on the university's current strengths in the Colleges of Arts and Sciences; Business; Education and Health Professions; and Engineering. Students may choose one of six concentrations: Statistics; Biological Analytics, Business Analytics; Operations Analytics; Computational Analytics; Educational Statistics & Psychometrics; or Quantitative Social Sciences.
",Mission,
0546 [C] M.S. in Statistics and Analytics.docx,"
Requirements for the Graduate Certificate in Statistics and Analytics:

The Graduate Certificate requires 12 hours of courses as specified below.
",Requirements,
0571 [M] M.S. in Business Analytics.docx,"
Taught by world-class faculty and leading researchers in the field, this intensive one-year, full-time program thoroughly prepares you to handle large volumes of structured and non-structured data and apply a variety of analytics methods to the data in different business contexts.
",Mission,
0571 [M] M.S. in Business Analytics.docx,"
Summer

Foundations of Business Analytics (2 units)

Statistics for Data Science (4 units)

ProSeminar (0)

Fall

Foundations of Marketing (4 units)

Data and Programming for Analytics (4 units)

Business Intelligence for Analytics (4 units)

Elective (4 units)

ProSeminar (0 units)

Winter

Management Science for Analytics (4 units)

Web and Social Analytics (4 units)

Capstone Prep (0 units)

Elective (8 units)

ProSeminar (0 units)

Spring

Capstone Project (4 units)

Electives (8 units)

ProSeminar (0 units)

BANA 200 Foundations of Business Analytics

This course will provide an overview of business analytics and the theory and practice underpinnings of the MSBA curricular tracks in data analytics, marketing analytics, and operations analytics. The course will also provide the students a working knowledge of the R programming language, including a coverage of how how R can be used for data visualization and graphics, data management, and basic statistics.

BANA 201A Statistics for Data Science

Methods of statistical inference, emphasizing applications to administrative and management decision problems. Topics: classical estimation and hypothesis testing, regression, correlation, analysis of variance, decision analysis, and forecasting.

BANA 201B Management Science for Analytics

An introduction to computer-based models for decision-making. Topics include optimization (linear programming, integer programming, network flows, quadratic programming, goal programming), Monte Carlo simulation, decision analysis, and heuristics for non-convex optimization. This course makes extensive use of optimization software, including Excel Solver and AMPL.

BANA 205 Foundations of Marketing

Introduction to the field of marketing. Objectives include developing familiarity with fundamental concepts, theories, and techniques in marketing, and acquainting students with the type of decisions made by marketing managers including customer targeting, product, pricing, distribution, promotion, and research.

BANA 211 ProSeminar

The ProSeminar courses are designed to hone career building skills, provide technology workshops and industry panel discussions, and generally prepare the students for a successful career in business analytics. During the Fall and Winter quarters, we will have guest speakers and panelists from various companies involved with business analytics, and in the Spring we focus on preparing for the CAP and aCAP certifications.

BANA 212 Data and Programming for Analytics

The objective of this course is to challenge and teach students how to handle data that come in a variety of forms and sizes. This course guides students through the whole data management process, from initial data acquisition to final data analysis. Topics include: Python programming, data visualization, web crawling, data manipulation and querying, and natural language processing.

BANA 273 Business Intelligence for Analytics

Introduces methods to mine data repositories for business intelligence to facilitate analytical decision-making. Topics include clustering for market segmentation, association rules to discover relationships between different purchase decisions, Naive-Bayes classification techniques for decision making using decision-trees.

BANA 277 Web and Social Analytics

Examines how to create value through web, mobile and social media analytics. Topics include: digital and social strategies; web analytics; search analytics; display and mobile advertising; social networks and social influence; social media and sentiment analysis; social media monetization; and crowdsourcing.

BANA 298A Business Analytics Capstone Prep

During the Winter quarter teams of up to four students will select the topic for their capstone project, conduct background research, and familiarize themselves with relevant data sets and software.

BANA 298B Business Analytics Capstone Project

During the Spring quarter students will do the bulk of their analysis on the capstone project, with two key deliverables due at the end of the quarter: (i) a presentation to MSBA faculty and students, and (ii) a final project report. Prerequisite: BANA 298A.

Sample Electives

Capstone Project

The Capstone Sponsor provides students an opportunity to work on real-life data science problems with industry partners. During the winter and spring quarters, students will work in teams led by a faculty advisor and the sponsor organization to create valuable collateral that will ultimately be presented to the Merage School faculty and staff, and the host organization.

Capstone Sponsor Companies:

City of Los Angeles

Coca-Cola

Competitive Analytics

Decision Ready

Eaton Aerospace

Experian

IBM

Kaiser Permanente


",Courses,
0571 [M] M.S. in Business Analytics.docx,"
Capstone Project

The Capstone Sponsor provides students an opportunity to work on real-life data science problems with industry partners. During the winter and spring quarters, students will work in teams led by a faculty advisor and the sponsor organization to create valuable collateral that will ultimately be presented to the Merage School faculty and staff, and the host organization.

Capstone Sponsor Companies:

City of Los Angeles

Coca-Cola

Competitive Analytics

Decision Ready

Eaton Aerospace

Experian

IBM

Kaiser Permanente

Pacific Life
",Impact,
0576 [M] M.S.M. in Business Analytics.docx,"
The Business Core provides students with a holistic understanding of the underlying business context necessary for succeeding in any industry
",Mission,
0576 [M] M.S.M. in Business Analytics.docx,"
The Analytics Core equips students with the general data handling, data presentation and business analytical skills, and the courses in Applied Business Analytics build off of these general skills to improve the students' ability to make decisions in the two most common application areas: marketing and operations.
",Skills,
0576 [M] M.S.M. in Business Analytics.docx,"
The three overlapping circles emphasize our program's goals:

- building applied analytical skills

- for intelligent business decision making

- using a wide range of tools appropriate for today's business data.


",Mission,
0576 [M] M.S.M. in Business Analytics.docx,"
The MSM-Business Analytics is a 36-credit-hour, lock-step program that includes three interlocking modules:

- business core (10.5 credit hours),

- analytics core (13.5 credit hours) and

- applied business analytics (12 credit hours).

The program can be completed in 16 months.
",Requirements,
0576 [M] M.S.M. in Business Analytics.docx,"
The program is delivered through a range of open source and commercial statistical software (e.g., R, SPSS, SAS, Stata), preparing students with the necessary user expertise to excel in analyst positions across industries
","Impact, Tools",
0576 [M] M.S.M. in Business Analytics.docx,"
Weatherhead’s newly established Master of Science in Management - Business Analytics (MSM-Business Analytics) trains students to transform big data into smart insights, master analytical skills for application in both operations and marketing
",Skills,
0576 [M] M.S.M. in Business Analytics.docx,"
includes an in-depth professional development course that prepares students to successfully enter managerial, consulting and analyst positions upon graduation.


",Jobs,
0577 [C] Graduate Certificate in SAS Data Mining.docx,"
The aim of the Data Mining Program is to train individuals to solve real world problems with Enterprise Miner® software as well as to develop SAS® programming expertise
","Mission, Tools",
0577 [C] Graduate Certificate in SAS Data Mining.docx,"
The graduate certificate program in SAS Data Mining provides students the knowledge to use statistical tools, data presentation tools, and data visualization tools needed for data mining with SAS/Enterprise Miner and SAS/Warehouse Administrator software.
",Tools,
0577 [C] Graduate Certificate in SAS Data Mining.docx,"
STA 5104 - Advanced Computer Processing of Statistical Data 3 Credit Hours

STA 5206 - Statistical Analysis 3 Credit Hours

STA 6714 - Data Preparation 3 Credit Hours

STA 5703 - Data Mining Methodology I 3 Credit Hours

STA 6704 - Data Mining Methodology II 3 Credit Hours
",Courses,
0578 [M] Master of Science in Data Analytics.docx,"
The MS in Data Analytics is a 30 credit hour interdisciplinary program that prepares students to develop algorithms and computerized systems to facilitate the discovery of information from large amounts of data.
","Mission, Interdisciplinary",
0578 [M] Master of Science in Data Analytics.docx,"
It will utilize the technical aspects of big data analytics, including algorithm design, programming, acquisition, management, mining, analysis, and interpretation of data.
",Skills,
0578 [M] Master of Science in Data Analytics.docx,"
Use state-of-the-art software tools to perform data mining and analysis on large structured and unstructured data sets, and transform such data into knowledge.

Design and implement new algorithms for data mining and analysis, and study their time-, space-, and energy-efficiency.

Perform data acquisition and management for extremely large and dynamic databases.

Present and communicate knowledge derived from data in an unambiguous and convincing manner.
","Skills, Impact",
0578 [M] Master of Science in Data Analytics.docx,"
Required:

Parallel and Distributed Database Systems (COP 5711*)

Machine Learning (CAP 5610*)

Parallel and Cloud Computation (COP 6526*)

Network Science (CNT 5805*)

Data Mining Methodology I (STA 5703*)

Data Mining Methodology II (STA 6704*)

Project in Data Analytics (CAP 6942*)

Statistical Analysis (STA 5206*)

Electives (must choose 2):

Text Mining I (CAP 6307*)

Social Media and Network Analysis (CAP 6315*)

Computational Analysis of Social Complexity (CAP 6318*)

Interactive Data Visualization (CAP 6737*)

Data Preparation (STA 6714*)

Machine Learning Methods for Biomedical Data (CAP 6545*)
",Courses,
0579 [C] Graduate Certificate in Data Analytics.docx,"
The Data Analytics graduate certificate (12 credit hours) prepares individuals to develop logical data models, construct data warehouses, build visually effective data displays and use sophisticated analytical techniques to glean valuable insights.
",Mission,
0579 [C] Graduate Certificate in Data Analytics.docx,"
BANA6043 Statistical Computing (C min)

BANA7038 Data Analysis Methods (C min)

IS6030 Data Management (C min)

IS7034 Data Warehousing and Business Intelligence (C min)

Electives

Students must complete 4 credit hours from the following courses. Substitutions may be made with prior approval of the academic director of the program.

IS7038 Managing Business Intelligence Projects (C min)

IS7032 Database Design (C min)

BANA7047 Data Mining II (C min)

BANA6037 Data Visualization (C min)

BANA7046 Data Mining I (C min)

IS7036 Data Mining for Business Intelligence (C min)
",Courses,
0581 [M] M.S. in Data Science.docx,"
Required Core Courses (12 Credits):

CSc 74020 Machine Learning: 3 credits

CSc 83060 Data Visualization: 3 credits

CSc 84030 Big Data Analytics: 3 credits

CSc 84040 Data Mining: 3 credits

Capstone Project (6 credits)

A 6-credit capstone project—either the master’s research project option (Option 1), the internship option for professional experience (Option 2), guided research and implementation of projects in project-oriented courses.



Option 1:

CSc 86180 Capstone Project I in Data Science: 3 credits

CSc 86190 Capstone Project II in Data Science: 3 credits

Option 2:

CSc 86210 Capstone Internship in Data Science: 6 credits



Elective Courses (12 credits): Choose two courses in each elective area



Elective I: Analytics Courses (Choose 6 credits)

CSc 72030 Database Management Systems: 3

CSc 74040 Natural Language Processing: 3

CSc 74010 Artificial Intelligence: 3

CSc 86120 Modeling and Simulation: 3

CSc 85040 Algorithms for Big Data: 3

CSc 80060 Advanced Data Structures: 3

CSc 80040 Combinatorial Algorithms: 3

CSc 84050 Graphical Models: 3

CSc 86130 Stochastic Optimization: 3

CSc 86110 Pattern Matching: 3

CSc 86140 Graph and Social Network Analysis: 3

CSc XXXXX Statistical inference

Elective II: Applications Courses (Choose 6 credits)

CSc 82040 Social and Cultural Computing: 3

CSc 74030 Computer Vision and Image Processing: 3

CSc 83040 Text Mining: 3

CSc 76010 Parallel Scientific Computing: 3

CSc 86010 Massively Parallel Systems (GPUs)

CSc 86150 Quickest Detection of Abrupt Changes: 3

CSc 84060 3D Photography: 3

CSc 84100 Speech and Audio Understanding: 3

CSc 84090 Vision, Brain and Assistive Technologies: 3

CSc 86080 Big Spatial Data: 3

CSc 86090 Big Data Management and Analysis: 3

CSc 84080 Information Retrieval: 3



Total for M.S. in Data Science: 30 credits
",Courses,
0581 [M] M.S. in Data Science.docx,"
The curriculum is 30 credits. Students take four foundational courses and select two elective courses. A capstone project — either a research project or an internship — extends the learning beyond the classroom
",Requirements,
0581 [M] M.S. in Data Science.docx,"


Our location in New York City and our ties to corporations, startups, government, and nonprofits will give you an additional edge.
",Fluff,
0581 [M] M.S. in Data Science.docx,"
At the Graduate Center, you will gain the analytic planning abilities that will set you apart
",Skills,
0581 [M] M.S. in Data Science.docx,"
Our 30-credit program prepares professionals and researchers to capitalize on the data revolution.
",Mission,
0581 [M] M.S. in Data Science.docx,"
Data Science Fundamentals

Our four core courses give you a solid grounding in data science. They cover:

- Machine learning,

- Data visualization,

- Big data analytics, and Data mining.

Data Analytics
",Courses,
0581 [M] M.S. in Data Science.docx,"


- Artificial intelligence

- Database management

- Algorithms for big data

- Social network analysis

- Natural language processing.
",Courses,
0581 [M] M.S. in Data Science.docx,"
- 3D photography,

- Speech and audio understanding,

- Vision, brain, and assistive technologies,

- Parallel scientific computing,

- Big spatial data

- Social and cultural computing
",Courses,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
The Data Science and Engineering (DSE) program at CCNY provides a solid foundation in core data science and engineering skills, which allows students to analyze, process, visualize, and apply machine learning and computational statistics to problems in engineering, science, and other disciplines
",Mission,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
The DSE program at CCNY specifically targets the STEM fields.
",Target group,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
It also offers a Capstone Project
",Courses,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
In their careers, graduates of the Master's Program in Data Science and Engineering (DSE) will:

- apply data driven methodology to a chosen domain specialization to meet the needs of society

- communicate clearly and assume leadership roles

- contribute to the field of applied data science, participate in professional societies, maintain current knowledge in the field, and pursue advanced studies
",Skills,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
DSE I1020: Introduction to Data Science

DSE I1030: Applied Statistics

DSE I2100: Applied Machine Learning and Data Mining

DSE I2400: Data Engineering: Infrastructure and Applications

DSE I2450: Big Data and Scalable Computation

DSE I2700: Visual Analytics

Supervised 3-credit Project or 6-credit Thesis Course
",Courses,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
DSE I9800: Capstone Project 3 credits

DSE I9900: Capstone Thesis 6 credits


",Courses,
0582 [M] M.S. in Data Science and Data Engineering.docx,"
Currently approved electives include:

BME I5100: Biomedical Signal Processing and Signal Modeling

BME I5000: Biomedical Imaging

BME I4200: Organ Transport and Pharmacokinetics

ChE I5500: Interfacial Phenomena

ChE I5700: Advanced Materials Engineering

ChE I8900: Nanotechnology

CE H1200/CE 56600, Engineering Hydrology

CSc I0600. Advanced Algorithms

CSc I0500: Computer Graphics

CSc I1000: Database Systems I

CSc I1100 Database Systems II

CSc1900. Machine Learning and Data Mining

CSc I4633: Multimedia

CSc I6730 Data Reduction in Physical Sciences

CSc I6716: Computer Vision

CSc I0802 Web-based Geographical Information System (Web-GIS)

CSc IA804: Massively Data Parallel Programming on GPUs

EE I2200: Image Processing

EE I5501: Introduction to Robotics

EE G3300: Advanced Mobile Robotics

EE I6400: Computer-Aided Digital VLSI Design

EE G6530 Biologically Inspired Computation for Engineering Problems
",Courses,
0584 [M] M.S. in Business Analytics.docx,"
Clark’s Graduate School of Management master’s in business analytics program will equip you with the skills needed for the growing field of data analysis.
",Mission,
0584 [M] M.S. in Business Analytics.docx,"
You’ll learn techniques to formulate insights and the capability to communicate your knowledge effectively to data scientists, managers and executives. Essentially, you’ll learn how to synthesize data into powerful information that you and other managers can use to inform decision making.

- An understanding of database and data warehouse design principles

- Foundational skills in industry-standard data analytics technologies and software

- The ability to interpret and synthesize data to make practical recommendations

- Effective communication and presentation skills
",Skills,
0584 [M] M.S. in Business Analytics.docx,"
10 core courses are required for the MSBA program. Students must also complete a 1 unit Experiential Learning Requirement (ELR) course or a 1 unit internship for credit along with the 10 core courses for a total of 11 course units.
",Requirements,
0584 [M] M.S. in Business Analytics.docx,"
MIS 4500 - Management Information Systems

MIS 4550 - Analytics Programming

MIS 5501 - Database Management Systems

MIS 5573 - Business Intelligence

MIS 5600 - Data Structures and Big Data Computing

MKT 5401 - Marketing Research

MKT 5495 - Digital Marketing Analytics

STAT 4450 - Foundations of Analytics

STAT 4600 - Big Data Statistics I

STAT 4650 - Big Data Statistics II



Experiential Learning Requirement



MIS 5650 - Applied Business Analytics

MIS 5920 - MSBA Internship
",Courses,
0585 [M] Master of Science in Healthcare Data Analytics.docx,"
Preliminary Courses (2):

Mathematics of Management

Introduction to Probability

Required Core Courses (9):

Introduction to Healthcare Systems

Healthcare Leadership Proseminar*

Healthcare Accounting and Finance

Data Analytics and Business Intelligence

Health Informatics

Advanced Application of Healthcare Data Analytics (Health Capstone)*

Statistical Foundations of Data Analytics

Advanced Statistics and Data Visualization

Data Architecture

Elective Courses (3):

Hospital Analytics

Payer Analytics

Healthcare Operations Research

Healthcare CRM
",Courses,
0585 [M] Master of Science in Healthcare Data Analytics.docx,"
Our approach to online learning concentrates on providing rich learning content, enhancing faculty and student engagement and continuously improving learning outcomes.
","Skills, Mission",
0585 [M] Master of Science in Healthcare Data Analytics.docx,"
Students will acquire practical, marketable skills as they gain an understanding of how to obtain, interpret and communicate healthcare data to shape the direction of the healthcare industry.
",Skills,
0586 [M] M.S. in Data Analytics.docx,"
Upon completion, you will be able to identify, acquire, manage, present, analyze and interpret large amounts of data in a variety of organizational settings. You'll learn how to turn big data into smart data, improve operations efficiency, and understand the factors that turn consumers into customers.
",Impact,
0586 [M] M.S. in Data Analytics.docx,"
The Master of Science in Data Analytics program provides you with the skills to be an effective professional in a rapidly growing field.
",Mission,
0586 [M] M.S. in Data Analytics.docx,"
Database Modeling, Design and Implementation

Probability and Statistics for Analytics

Data Warehousing

Information Visualization

Data Mining

Applied Machine Learning

Elective Courses:

Elective courses are offered in a variety of areas, including but not limited to the following:

Tabular Data Analytics

Modeling for Insight

Geospatial Systems

Computational/Machine Learning

Artificial Intelligence

Human Computer Interaction

Econometrics

Digital Signal Processing

Design of Experiments and Analysis of Data

Pattern Recognition

Stochastic Processes for Engineers

Strategic Project Management

Marketing Research Methods

Big Data Processing and Cloud Services

Big Data Architecture


",Courses,
0587 [M] Master of Science in Biomedical Data Science and Informatics.docx,"
Biomedical data science and informatics is an interdisciplinary field that applies concepts and methods from computer science and other quantitative disciplines together with principles of information science to solve challenging problems in biology, medicine and public health.
",Definition,
0587 [M] Master of Science in Biomedical Data Science and Informatics.docx,"
The MS in Biomedical Data Science and Informatics prepares students to participate in research programs in academia, healthcare, public health and industry. 
",Mission,
0587 [M] Master of Science in Biomedical Data Science and Informatics.docx,"
Students enrolled in this unique interdisciplinary program will benefit from Clemson's strengths in computing, engineering, and public health and the expertise in biomedical sciences offered by our collaborators at the Medical University of South Carolina. The program seeks to produce the next generation of data scientists, prepared to manage and analyze big data sources and apply their knowledge in clinical, government and industry settings
",Mission,
0587 [M] Master of Science in Biomedical Data Science and Informatics.docx,"
Area I – Biomedical Informatics Foundations and Applications (12 hours)

Area II – Computing/Math/Stats/Engineering (12 hours)

Area III – Health Systems, Quality, and Safety (5-6 hours)

Area IV – Domain Biology/Medicine (3-4 hours)
",Requirements,
0589 [M] M.S. in Data Analytics.docx,"
The Master of Science in Data Analytics Program at CSE will prepare graduates with the knowledge and skill set necessary to become analytics and data science professionals
",Mission,
0589 [M] M.S. in Data Analytics.docx,"
The program will explore the intricacies of data analytics and expose students to various topics related to data collection, manipulation, processing, analysis, and visualization. Along with probability theory and statistical analysis methods and computing tools, students will learn how to solve crucial data-driven problems and assist with analytics-driven decision making that are needed in the work force as the progression of big data jobs continues to grow. Our program emphasizes not only on data analytics theories but also data analytics skills and techniques with both a mathematics and computer science focus.
",Skills,
0589 [M] M.S. in Data Analytics.docx,"
CS601 Foundations of Analytics

CS603 Database Design and Management

GST607 Technical Communication

CS613 Cryptography and Data Security

CS617 Data Analysis and Visualization

CS625 Data Mining

CS631 Statistical Methods

CS637 Time Series and Forecasting

MC626 Ethical Issues

CS697 Capstone
",Courses,
